$Date,$Time,P21P303A_IFASE_A,P21P303A_VOLT_AB,P21P303B_IFASE_A,P21P303B_VOLT_AB,P21P303C_IFASE_A,P21P303C_VOLT_AB
12/01/2023,05:28:49,0,4146,131,4182,0,4
12/01/2023,05:48:58,0,4150,131,4182,0,3
12/01/2023,06:09:08,0,4139,131,4174,0,1
12/01/2023,06:29:18,0,4134,130,4178,0,6
12/01/2023,06:49:27,0,4137,131,4173,0,2
12/01/2023,07:09:37,0,4148,131,4175,0,10
12/01/2023,07:29:46,0,4137,131,4178,0,2
12/01/2023,07:49:56,0,4138,131,4183,0,3
12/01/2023,08:10:06,0,4137,131,4174,0,4
12/01/2023,08:30:15,0,4135,130,4173,0,6
12/01/2023,08:50:25,0,4143,130,4180,0,4
12/01/2023,09:10:34,0,4149,130,4171,0,8
12/01/2023,09:30:44,0,4134,130,4177,0,4
12/01/2023,09:50:54,0,4145,130,4170,0,4
12/01/2023,10:11:03,0,4136,130,4169,0,4
12/01/2023,10:31:13,0,4145,130,4171,0,1
12/01/2023,10:51:22,0,4144,130,4172,0,1
12/01/2023,11:11:32,0,4143,130,4170,0,5
12/01/2023,11:31:42,0,4131,131,4174,0,2
12/01/2023,11:51:51,0,4133,130,4182,0,10
12/01/2023,12:12:01,0,4146,130,4172,0,10
12/01/2023,12:32:10,0,4144,130,4175,0,5
12/01/2023,12:52:20,0,4145,130,4181,0,0
12/01/2023,13:12:30,0,4133,130,4173,0,8
12/01/2023,13:32:39,0,4145,130,4180,0,9
12/01/2023,13:52:49,0,4149,131,4184,0,2
12/01/2023,14:12:58,0,4139,130,4172,0,2
12/01/2023,14:33:08,0,4146,130,4174,0,8
12/01/2023,14:53:18,0,4146,130,4178,0,0
12/01/2023,15:13:27,0,4138,130,4170,0,4
12/01/2023,15:33:37,0,4145,130,4171,0,9
12/01/2023,15:53:46,0,4148,131,4172,0,5
12/01/2023,16:13:56,0,4148,131,4173,0,4
12/01/2023,16:34:06,0,4145,131,4181,0,9
12/01/2023,16:54:15,0,4143,131,4169,0,2
12/01/2023,17:14:25,0,4137,131,4172,0,3
12/01/2023,17:34:34,0,4132,131,4174,0,3
12/01/2023,17:54:44,0,4151,130,4175,0,3
12/01/2023,18:14:54,0,4136,131,4171,0,4
12/01/2023,18:35:03,0,4132,131,4176,0,1
12/01/2023,18:55:13,0,4148,130,4170,0,3
12/01/2023,19:15:22,0,4145,131,4174,0,0
12/01/2023,19:35:32,0,4144,131,4183,0,9
12/01/2023,19:55:42,0,4145,131,4179,0,4
12/01/2023,20:15:51,0,4144,131,4177,0,2
12/01/2023,20:36:01,0,4145,131,4175,0,7
12/01/2023,20:56:10,0,4146,131,4177,0,1
12/01/2023,21:16:20,0,4144,130,4184,0,6
12/01/2023,21:36:30,0,4146,130,4175,0,0
12/01/2023,21:56:39,0,4135,131,4175,0,3
12/01/2023,22:16:49,0,4143,131,4179,0,1
12/01/2023,22:36:58,0,4133,131,4178,0,4
12/01/2023,22:57:08,0,4132,130,4183,0,4
12/01/2023,23:17:18,0,4133,131,4174,0,7
12/01/2023,23:37:27,0,4151,131,4178,0,9
12/01/2023,23:57:37,0,4139,131,4176,0,4
12/02/2023,00:17:46,0,4147,131,4181,0,4
12/02/2023,00:37:56,0,4146,131,4180,0,1
12/02/2023,00:58:06,0,4148,131,4184,0,3
12/02/2023,01:18:15,0,4146,131,4180,0,4
12/02/2023,01:38:25,0,4146,131,4179,0,10
12/02/2023,01:58:34,0,4134,131,4183,0,2
12/02/2023,02:18:44,0,4150,131,4176,0,10
12/02/2023,02:38:54,0,4134,131,4174,0,0
12/02/2023,02:59:03,0,4148,131,4183,0,2
12/02/2023,03:19:13,0,4142,131,4179,0,7
12/02/2023,03:39:22,0,4149,131,4172,0,3
12/02/2023,03:59:32,0,4144,131,4175,0,6
12/02/2023,04:19:42,0,4151,131,4182,0,3
12/02/2023,04:39:51,0,4148,131,4184,0,6
12/02/2023,05:00:01,0,4144,131,4172,0,3
12/02/2023,05:20:10,0,4150,130,4177,0,1
12/02/2023,05:40:20,0,4144,130,4173,0,5
12/02/2023,06:00:30,0,4147,130,4178,0,4
12/02/2023,06:20:39,0,4135,131,4177,0,2
12/02/2023,06:40:49,0,4148,131,4181,0,0
12/02/2023,07:00:58,0,4149,131,4180,0,9
12/02/2023,07:21:08,0,4147,131,4176,0,10
12/02/2023,07:41:18,0,4151,131,4177,0,4
12/02/2023,08:01:27,0,4148,130,4173,0,6
12/02/2023,08:21:37,0,4143,130,4174,0,4
12/02/2023,08:41:46,0,4134,130,4172,0,3
12/02/2023,09:01:56,0,4140,130,4172,0,7
12/02/2023,09:22:06,0,4134,130,4181,0,3
12/02/2023,09:42:15,0,4148,130,4183,0,3
12/02/2023,10:02:25,0,4136,130,4171,0,4
12/02/2023,10:22:34,0,4136,130,4171,0,7
12/02/2023,10:42:44,0,4136,130,4172,0,1
12/02/2023,11:02:54,0,4146,130,4181,0,0
12/02/2023,11:23:03,0,4142,130,4176,0,7
12/02/2023,11:43:13,0,4138,130,4183,0,3
12/02/2023,12:03:22,0,4135,130,4178,0,3
12/02/2023,12:23:32,0,4134,130,4175,0,9
12/02/2023,12:43:42,0,4148,130,4174,0,7
12/02/2023,13:03:51,0,4145,131,4175,0,4
