$Date;$Time;P21P303A_IFASE_A;P21P303A_VOLT_AB;P21P303B_IFASE_A;P21P303B_VOLT_AB;P21P303C_IFASE_A;P21P303C_VOLT_AB
11/01/2023;1:23:31;0;4146;132;4175;0;8
11/01/2023;1:43:40;0;4143;132;4171;0;0
11/01/2023;2:03:50;0;4146;132;4174;0;9
11/01/2023;2:24:00;0;4148;132;4183;0;8
11/01/2023;2:44:09;0;4136;132;4171;0;2
11/01/2023;3:04:19;0;4140;132;4179;0;3
11/01/2023;3:24:28;0;4140;131;4178;0;2
11/01/2023;3:44:38;0;4146;131;4177;0;5
11/01/2023;4:04:48;0;4133;132;4177;0;0
11/01/2023;4:24:57;0;4148;132;4183;0;10
11/01/2023;4:45:07;0;4146;132;4173;0;4
11/01/2023;5:05:16;0;4146;132;4174;0;0
11/01/2023;5:25:26;0;4152;132;4181;0;3
11/01/2023;5:45:36;0;4132;132;4177;0;6
11/01/2023;6:05:45;0;4149;132;4185;0;3
11/01/2023;6:25:55;0;4138;131;4183;0;4
11/01/2023;6:46:04;0;4145;132;4175;0;5
11/01/2023;7:06:14;0;4142;132;4178;0;5
11/01/2023;7:26:24;0;4137;132;4179;0;6
11/01/2023;7:46:33;0;4132;132;4177;0;7
11/01/2023;8:06:43;0;4135;132;4173;0;0
11/01/2023;8:26:52;0;4151;131;4182;0;3
11/01/2023;8:47:02;0;4135;131;4183;0;6
11/01/2023;9:07:12;0;4148;131;4184;0;7
11/01/2023;9:27:21;0;4136;131;4183;0;6
11/01/2023;9:47:31;0;4145;131;4172;0;3
11/01/2023;10:07:40;0;4132;131;4172;0;3
11/01/2023;10:27:50;0;4142;131;4174;0;9
11/01/2023;10:48:00;0;4141;131;4175;0;10
11/01/2023;11:08:09;0;4142;132;4173;0;3
11/01/2023;11:28:19;0;4147;131;4173;0;0
11/01/2023;11:48:28;0;4143;132;4169;0;9
11/01/2023;12:08:38;0;4146;133;4175;0;6
11/01/2023;12:28:48;0;4147;133;4177;0;0
11/01/2023;12:48:57;0;4145;133;4174;0;12
11/01/2023;13:09:07;0;4135;132;4172;0;2
11/01/2023;13:29:16;0;4145;132;4183;0;4
11/01/2023;13:49:26;0;4147;132;4174;0;3
11/01/2023;14:09:36;0;4150;132;4183;0;1
11/01/2023;14:29:45;0;4142;132;4178;0;2
11/01/2023;14:49:55;0;4146;132;4179;0;10
11/01/2023;15:10:04;0;4148;132;4174;0;4
11/01/2023;15:30:14;0;4139;132;4183;0;1
11/01/2023;15:50:24;0;4141;132;4176;0;7
